Reaction number,Reaction name,Subsystem,Gene name,lb,ub
360,URCN,Histidine degradation,urocanate hydratase 1,0,1000
361,IZPN,Histidine degradation,amidohydrolase domain containing 1,0,1000
362,GluForTx,Histidine degradation,formimidoyltransferase cyclodeaminase,-1000,1000
363,APAT2rm,Beta-alanine degradation,4-aminobutyrate aminotransferase,-1000,1000
364,MMSAD3m,Beta-alanine degradation,"aldehyde dehydrogenase 6 family, member A1",0,1000
365,MMSAD3m2_MitoCore,Beta-alanine degradation,"aldehyde dehydrogenase 6 family, member A1",0,1000
366,ASP1DC,Beta-alanine synthesis,glutamate decarboxylase-like 1,0,0
367,CKc,Creatine ATP buffer,Creatine kinase,-1000,1000
368,CK,Creatine ATP buffer,"Creatine kinase S-type, mitochondrial",-1000,1000
369,ACOAHi,Acetate production,acyl-CoA thioesterase 12,0,1000
370,ALCD2yf,Alcohol metabolism,"aldo-keto reductase family 1, member A1 (aldehyde reductase)",0,1000
371,ALCD2if,Alcohol metabolism,alcohol dehydrogenase,0,1000
372,ACALDtm,Alcohol metabolism,N/A,-1000,1000
373,ALDD2xm,Alcohol metabolism,aldehyde dehydrogenase family,0,1000
374,ALDD2x,Alcohol metabolism,aldehyde dehydrogenase family,0,1000
375,ACSm,Alcohol metabolism,acyl-CoA synthetase short-chain family member 1,0,1000
376,ACS,Alcohol metabolism,acyl-CoA synthetase short-chain family member 2,0,1000
377,ADSL1,Purine Nucleotide Cycle,adenylosuccinate lyase,0,1000
378,ADSS,Purine Nucleotide Cycle,adenylosuccinate synthase,0,1000
379,AMPD1,Purine Nucleotide Cycle,adenosine monophosphate deaminase 1,0,1000
380,ARGN,Urea Cycle,arginase 1,0,1000
381,ARGSL,Urea Cycle,argininosuccinate lyase,-1000,1000
382,ARGSS,Urea Cycle,argininosuccinate synthase,0,1000
383,ARGNm,Urea Cycle,arginase 2,0,1000
384,ALASm,Haem Synthesis,5'-aminolevulinate synthase 1,0,1000
385,5AOPtm,Haem Synthesis,Unknown,-1000,1000
386,PPBNGS,Haem Synthesis,aminolevulinate dehydratase,-1000,1000
387,HMBS,Haem Synthesis,hydroxymethylbilane synthase,0,1000
388,UPP3S,Haem Synthesis,uroporphyrinogen III synthase,-1000,1000
389,UPPDC1,Haem Synthesis,uroporphyrinogen decarboxylase,0,1000
390,CPPPGO,Haem Synthesis,coproporphyrinogen oxidase,0,1000
391,PPPGOmB_MitoCore,Haem Synthesis,protoporphyrinogen oxidase,0,1000
392,FCLTm,Haem Synthesis,ferrochelatase,0,1000
393,PHEMEtm,Haem Synthesis,Unknown,0,1000
394,HOXG,Haem Degradation,heme oxygenase 1 or 2,0,1000
395,BILIRED,Haem Degradation,biliverdin reductase B,0,1000
396,BILIRED2_MitoCore,Haem Degradation,biliverdin reductase A,0,1000
397,PCHOLPm_hs,Cardiolipin synthesis,"phospholipase D1, phosphatidylcholine-specific",0,1000
398,GLYK,Cardiolipin synthesis,glycerol kinase,0,1000
399,GLYC3Ptm,Cardiolipin synthesis,,0,1000
400,GPAMm_hsB_MitoCore,Cardiolipin synthesis,"glycerol-3-phosphate acyltransferase 2, mitochondrial",0,1000
401,AGPAT1B_MitoCore,Cardiolipin synthesis,1-acylglycerol-3-phosphate O-acyltransferase 5,0,1000
402,CDSm,Cardiolipin synthesis,"TAM41, mitochondrial translocator assembly and maintenance protein, homolog (S. cerevisiae)",-1000,1000
403,PGPPTm,Cardiolipin synthesis,phosphatidylglycerophosphate synthase 1,0,1000
404,PGPP_hsm_MitoCore,Cardiolipin synthesis,"protein tyrosine phosphatase, mitochondrial 1",0,1000
405,CLS_hsm_MitoCore,Cardiolipin synthesis,cardiolipin synthase 1,0,1000
406,CLPN_MitoCore,Cardiolipin synthesis,cardiolipin synthase 1,-1000,1000
407,CYTK1m,Cardiolipin synthesis,"cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial",-1000,1000
408,NDPK3m,Cardiolipin synthesis,NME/NM23 nucleoside diphosphate kinase 4,-1000,1000
409,SPODMm,ROS defense,superoxide dismutase,0,1000
410,GTHP,ROS defense,glutathione peroxidase 2,0,1000
411,GTHPm,ROS defense,glutathione peroxidase 1,0,1000
412,GTHO,ROS defense,glutathione reductase,0,1000
413,GTHOm,ROS defense,glutathione reductase,0,1000
414,CITtamB,Mitochondrial transporters - characterised,"solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1",-1000,0
415,r0913,Mitochondrial transporters - characterised,"solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1",0,1000
416,CITtbm,Mitochondrial transporters - characterised,"solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1",-1000,0
417,r0917,Mitochondrial transporters - characterised,"solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1",0,1000
418,r0917b_MitoCore,Mitochondrial transporters - characterised,"solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1",-1000,0
419,PIt2mB_MitoCore,Mitochondrial transporters - characterised,"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3",-1000,1000
420,ATPtmB_MitoCore,Mitochondrial transporters - characterised,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4, 5 and 6",-1000,1000
421,HtmB_MitoCore,Mitochondrial transporters - characterised,"uncoupling protein 1, 2 and 3",0,1000
422,MALtm,Mitochondrial transporters - characterised,"solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10",-1000,1000
423,MALSO3tm,Mitochondrial transporters - characterised,"solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10",-1000,1000
424,MALTSULtm,Mitochondrial transporters - characterised,"solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10",-1000,1000
425,MALSO4tm,Mitochondrial transporters - characterised,"solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10",-1000,1000
426,SUCCt2m,Mitochondrial transporters - characterised,"solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10",-1000,1000
427,r0830,Mitochondrial transporters - characterised,"solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10",-1000,1000
428,r0830B_MitoCore,Mitochondrial transporters - characterised,"solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10",-1000,1000
429,r0829,Mitochondrial transporters - characterised,"solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10",-1000,1000
430,SUCCt3m_MitoCore,Mitochondrial transporters - characterised,"solute carrier family 25 (mitochondrial carrier; dicarboxylate transporter), member 10",-1000,1000
431,COAtmB_MitoCore,Mitochondrial transporters - characterised,"solute carrier family 25, member 42",0,0
432,COAtmC_MitoCore,Mitochondrial transporters - characterised,"solute carrier family 25, member 42",0,0
433,GLUt2mB_MitoCore,Mitochondrial transporters - characterised,"solute carrier family 25 (glutamate carrier), member 18",0,1000
434,ORNt4mB_MitoCore,Mitochondrial transporters - characterised,solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15,-1000,1000
435,r2398B_MitoCore,Mitochondrial transporters - characterised,solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15,-1000,1000
436,r2402B_MitoCore,Mitochondrial transporters - characterised,solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15,-1000,1000
437,LYStmB_MitoCore,Mitochondrial transporters - characterised,"solute carrier family 25 (mitochondrial carnitine/acylcarnitine carrier), member 29",-1000,1000
438,ORNt3mB_MitoCore,Mitochondrial transporters - characterised,"solute carrier family 25 (mitochondrial carnitine/acylcarnitine carrier), member 29",-1000,1000
439,ARGtmB_MitoCore,Mitochondrial transporters - characterised,"solute carrier family 25 (mitochondrial carnitine/acylcarnitine carrier), member 29",-1000,1000
440,r1427,Mitochondrial transporters - characterised,"solute carrier family 25 (mitochondrial carnitine/acylcarnitine carrier), member 29",-1000,1000
441,PYRt2m,Mitochondrial transporters - characterised,mitochondrial pyruvate carrier 1 and 2,0,1000
442,ACACt2mB_MitoCore,Mitochondrial transporters - characterised,mitochondrial pyruvate carrier 1 and 2,-1000,1000
443,FE2tm,Mitochondrial transporters - characterised,"solute carrier family 25 (mitochondrial iron transporter), member 37 or 28",-1000,1000
444,ASNtm,Mitochondrial transporters - uncharacterised,Unknown,-1000,1000
445,r1437,Mitochondrial transporters - uncharacterised,Unknown,-1000,1000
446,GLNtm,Mitochondrial transporters - uncharacterised,Unknown,-1000,1000
447,PROtm,Mitochondrial transporters - uncharacterised,Unknown,-1000,1000
448,r1078,Mitochondrial transporters - uncharacterised,Unknown,-1000,1000
449,r1436,Mitochondrial transporters - uncharacterised,Unknown,-1000,1000
450,r1455,Mitochondrial transporters - uncharacterised,Unknown,-1000,1000
451,TRPtm_MitoCore,Mitochondrial transporters - uncharacterised,Unknown,-1000,1000
452,GLYtm,Mitochondrial transporters - uncharacterised,Unknown,-1000,1000
453,ILEt5m,Mitochondrial transporters - uncharacterised,Unknown,-1000,1000
454,LEUt5m,Mitochondrial transporters - uncharacterised,Unknown,-1000,1000
455,VALt5m,Mitochondrial transporters - uncharacterised,Unknown,-1000,1000
456,r1434,Mitochondrial transporters - uncharacterised,Unknown,-1000,0.001
457,r1435,Mitochondrial transporters - uncharacterised,Unknown,-1000,1000
458,r1440,Mitochondrial transporters - uncharacterised,Unknown,-1000,1000
459,BALAtmr,Mitochondrial transporters - uncharacterised,Unknown,-1000,1000
460,UREAtm,Mitochondrial transporters - uncharacterised,Unknown,-1000,1000
461,FUMtmB_MitoCore,Mitochondrial transporters - uncharacterised,Unknown,-1000,0
462,BHBtmB_MitoCore,Mitochondrial transporters - uncharacterised,Unknown,-1000,1000
463,PPAtmB_MitoCore,Mitochondrial transporters - uncharacterised,Unknown,-1000,1000
464,BUTt2mB_MitoCore,Mitochondrial transporters - uncharacterised,Unknown,-1000,1000
465,FORt2mB_MitoCore,Mitochondrial transporters - uncharacterised,Unknown,-1000,1000
466,r0962B_MitoCore,Mitochondrial transporters - uncharacterised,Unknown,-1000,1000
467,CHLtmB_MitoCore,Mitochondrial transporters - uncharacterised,Unknown,-1000,1000
468,CO2tm,Mitochondrial transport - diffusion / artificial,,-1000,1000
469,H2Otm,Mitochondrial transport - diffusion / artificial,,-1000,1000
470,O2tm,Mitochondrial transport - diffusion / artificial,,-1000,1000
471,GLYCtm,Mitochondrial transport - diffusion / artificial,,-1000,1000
472,CYANtm,Mitochondrial transport - diffusion / artificial,,-1000,1000
473,TCYNTtmB_MitoCore,Mitochondrial transport - diffusion / artificial,,-1000,1000
474,CREATtmdiffir,Mitochondrial transport - diffusion / artificial,,-1000,1000
475,PCREATtmdiffirB_MitoCore,Mitochondrial transport - diffusion / artificial,,-1000,1000
476,r0941,Mitochondrial transport - diffusion / artificial,,-1000,1000
477,r0838B_MitoCore,Mitochondrial transport - diffusion / artificial,,-1000,1000
478,Biomasst_MitoCore,Mitochondrial transport - diffusion / artificial,,-1000,1000
479,PCFLOPm,Mitochondrial transport - lipids,,0,1000
480,PSFLIPm,Mitochondrial transport - lipids,,0,1000
481,PEFLIPm,Mitochondrial transport - lipids,,0,1000
482,Biomass_MitoCore,Boundary conditions - core,,-1000,0
483,O2t,Boundary conditions - core,,0,19.8
484,CO2t,Boundary conditions - core,,-1000,1000
485,HCO3t_MitoCore,Boundary conditions - core,,-1000,1.71
486,GLCt1r,Boundary conditions - core,,-1000,0.9
487,HDCAtr,Boundary conditions - core,,-1000,1
488,HDCAtm_MitoCore,Boundary conditions - core,,-1000,0
489,L_LACt2r,Boundary conditions - core,,-1000,0.575
490,BHBt,Boundary conditions - core,,0,0.048
491,ACACt2,Boundary conditions - core,,0,0.114
492,ETOHt,Boundary conditions - alternative fuels,,0,0
493,BUTt2r,Boundary conditions - alternative fuels,,-1000,0.006
494,GLYCt,Boundary conditions - alternative fuels,,-0.01,1000
495,r0942,Boundary conditions - alternative fuels,,0,0
496,r0942b_MitoCore,Boundary conditions - alternative fuels,,0,0
497,HIStiDF,Boundary conditions - essential amino acids,,0,0.01
498,ILEtec,Boundary conditions - essential amino acids,,0,0.004
499,LEUtec,Boundary conditions - essential amino acids,,0,0.016
500,LYStiDF,Boundary conditions - essential amino acids,,0,0.03
501,METtec,Boundary conditions - essential amino acids,,0,0.005
502,PHEtec,Boundary conditions - essential amino acids,,0,0.012
503,r2534,Boundary conditions - essential amino acids,,0,0.012
504,TRPt,Boundary conditions - essential amino acids,,0,0.008
505,VALtec,Boundary conditions - essential amino acids,,0,0.011
506,ARGtiDF,Boundary conditions - nonessential amino acids,,-1000,0.007
507,ASPte,Boundary conditions - nonessential amino acids,,-0.154,1000
508,CYStec,Boundary conditions - nonessential amino acids,,-1000,0.001
509,GLUt_MitoCore,Boundary conditions - nonessential amino acids,,-1000,0
510,r2525,Boundary conditions - nonessential amino acids,,-1000,0
511,GLYt2r,Boundary conditions - nonessential amino acids,,-1000,0.009
512,PROt2r,Boundary conditions - nonessential amino acids,,-1000,0.004
513,r2526,Boundary conditions - nonessential amino acids,,-1000,0.017
514,TYRt,Boundary conditions - nonessential amino acids,,-1000,0.011
515,r2532,Boundary conditions - nonessential amino acids,,-1000,0.01
516,ALAt2r,Boundary conditions - nonessential amino acids,,-1000,0.01
517,FUMt_MitoCore,Boundary Conditions - Biomarkers,,-1000,0
518,SUMt_MitoCore,Boundary Conditions - Biomarkers,,-1000,0
519,r0817,Boundary Conditions - Biomarkers,,0,1000
520,NH4t3r,Boundary Conditions - Biomarkers,,-1000,1000
521,ACt2r,Boundary Conditions - Biomarkers,,-0.01,0.01
522,PPAt,Boundary Conditions - Biomarkers,,-1000,0
523,2HBt2,Boundary Conditions - Biomarkers,,-1000,0
524,CHOLtu,Boundary Conditions - Biomarkers,,-1000,0
525,r1088,Boundary Conditions - Biomarkers,,-1000,0
526,ICITt_MitoCore,Boundary Conditions - Biomarkers,,-1000,0
527,UREAt,Boundary Conditions - Biomarkers,,-1000,0
528,r1512,Boundary Conditions - Biomarkers,,-1000,0
529,ARGSUCt_MitoCore,Boundary Conditions - Biomarkers,,-1000,0
530,MAL_Lte,Boundary Conditions - Biomarkers,,-1000,0
531,OAAt_MitoCore,Boundary Conditions - Biomarkers,,-1000,0
532,AKGt_MitoCore,Boundary Conditions - Biomarkers,,-1000,0
533,MERCPLACt_MitoCore,Boundary Conditions - Biomarkers,,-1000,0
534,r0899,Boundary Conditions - Misc,,0,0
535,FE2t,Boundary Conditions - Misc,,-1000,1000
536,H2Ot,Boundary Conditions - Misc,,-1000,1000
537,Hct_MitoCore,Boundary Conditions - Misc,,-1000,1000
538,Hmt_MitoCore,Boundary Conditions - Misc,,-1000,1000
539,SO3t_MitoCore,Boundary Conditions - Misc,,-1000,1000
540,TSULt_MitoCore,Boundary Conditions - Misc,,-1000,1000
541,r0940,Boundary Conditions - Misc,,-1000,1000
542,CYANt,Boundary Conditions - Misc,,-1000,1000
543,TCYNTt,Boundary Conditions - Misc,,-1000,1000
544,r1423,Boundary Conditions - Misc,,-1000,1000
545,FORt_MitoCore,Boundary Conditions - Misc,,-1000,0
546,FOLt_MitoCore,Boundary Conditions - Misc,,0,1000
547,NADHt_MitoCore,Boundary Conditions - Misc,,0,0
548,NADt_MitoCore,Boundary Conditions - Misc,,0,0
549,NADHtm_MitoCore,Boundary Conditions - Misc,,0,0
550,NADtm_MitoCore,Boundary Conditions - Misc,,0,0
551,COt,Boundary Conditions - Misc,,-1000,1000
552,NOt,Boundary Conditions - Misc,,-1000,1000
553,PCHOLHSTDe,Boundary Conditions - Lipids,,-1000,1000
554,PSt3,Boundary Conditions - Lipids,,-1000,1000
555,PEt,Boundary Conditions - Lipids,,-1000,1000
556,CBPS,Pyrimidine synthesis,"Carbamoyl-Phosphate Synthetase 2, Aspartate Transcarbamylase, And Dihydroorotase",0,1000
557,ASPCTr,Pyrimidine synthesis,"Carbamoyl-Phosphate Synthetase 2, Aspartate Transcarbamylase, And Dihydroorotase",-1000,1000
558,DHORTS,Pyrimidine synthesis,"Carbamoyl-Phosphate Synthetase 2, Aspartate Transcarbamylase, And Dihydroorotase",-1000,1000
559,DHORD9,Pyrimidine synthesis,Dihydoorotic Acid Dehydrogenase (Quinone 10),-1000,1000
560,DM_orot_c,Boundary Conditions   demand,N/A,0,1000
